idx,method,min_cluster_size,silhouette,calinski_harabasz,davies_bouldin
0,hdbscan,250,0.886940598487854,44784.33984375,2.3978862997202843
1,hdbscan,500,0.20622771978378296,6342.6171875,1.854761142943229
2,hdbscan,750,-0.2808995544910431,1046.0587158203125,2.1510865672244637
3,hdbscan,1000,-0.3201805353164673,864.22314453125,1.8993079780830897
4,hdbscan,2500,-0.3213062882423401,829.3442993164062,1.8341308422441305
0,optics,10,0.1,-0.7557434439659119,45.246822357177734,1.0421043942590733
1,optics,10,0.25,-0.7381064295768738,82.94252014160156,0.9427006598814973
2,optics,10,0.5,-0.5104979872703552,175.61167907714844,0.7747887685474661
3,optics,25,0.1,-0.5142138004302979,160.64414978027344,0.7859292181203877
4,optics,25,0.25,-0.39982354640960693,317.6679992675781,0.8662802758885567
5,optics,25,0.5,,,
6,optics,50,0.1,-0.38410401344299316,779.4512939453125,0.7998007295457978
7,optics,50,0.25,0.3806946873664856,500.0333251953125,0.37004555295762165
8,optics,50,0.5,,,
9,optics,100,0.1,-0.12715010344982147,1435.1005859375,0.6755370648919126
10,optics,100,0.25,0.36250120401382446,318.29925537109375,0.5270728467148533
11,optics,100,0.5,,,
0,kmeans,3,0.7404988408088684,2116487.25,0.5473259766292856
1,kmeans,5,0.5209934711456299,2927292.5,0.6066746188587687
2,kmeans,10,0.34544920921325684,3420830.25,0.7386214454047094
3,kmeans,15,0.3177907168865204,3465411.5,0.8286830563914478
4,kmeans,20,0.30018576979637146,3327675.0,0.8473824179440094
5,kmeans,25,0.3011351525783539,3243773.25,0.8492965773876636
6,kmeans,30,0.28389209508895874,3098599.5,0.9102960880209625
0,minibatch,5000,3,0.656229555606842,2811222.0,0.5498743071671665
1,minibatch,5000,5,0.5379632711410522,2950601.0,0.6652124550004208
2,minibatch,5000,10,0.2573009133338928,2184324.25,0.9385452296495641
3,minibatch,5000,15,0.28187039494514465,2611685.75,0.9349133422864632
4,minibatch,5000,20,0.2899513840675354,2763543.5,0.9754923338525062
5,minibatch,5000,25,0.25653499364852905,2542036.75,1.0394039050504176
6,minibatch,5000,30,0.2504323124885559,2616563.25,1.0218050466132822
7,minibatch,10000,3,0.6508927345275879,2807753.5,0.5611554223164195
8,minibatch,10000,5,0.5271696448326111,2798006.75,0.6232131341378608
9,minibatch,10000,10,0.3363693654537201,2362528.25,0.8377598731737466
10,minibatch,10000,15,0.28778430819511414,2219763.75,0.9637961024375401
11,minibatch,10000,20,0.2520085871219635,2053775.25,1.0435859551822713
12,minibatch,10000,25,0.2807967960834503,2763824.75,0.9661675771098701
13,minibatch,10000,30,0.26188334822654724,2607526.0,1.0064916632606424
14,minibatch,25000,3,0.6654823422431946,2076303.75,0.6403595188028938
15,minibatch,25000,5,0.5233634114265442,2844823.75,0.6223903844192176
16,minibatch,25000,10,0.2312401533126831,2646593.75,0.9900944244612617
17,minibatch,25000,15,0.315085768699646,3142017.75,0.8824160083427929
18,minibatch,25000,20,0.287193238735199,2807459.75,0.9053597552194234
19,minibatch,25000,25,0.2761121988296509,1979101.875,0.9889603493507079
20,minibatch,25000,30,0.24569502472877502,2778351.5,1.0187863787705875
21,minibatch,50000,3,0.6680556535720825,2807097.5,0.5262311017011344
22,minibatch,50000,5,0.26958322525024414,2682170.75,0.9302789790183443
23,minibatch,50000,10,0.3190760612487793,2720557.0,0.8095313778289336
24,minibatch,50000,15,0.2939039170742035,2470799.25,0.9525913187010902
25,minibatch,50000,20,0.2552356421947479,2659381.25,1.0234415059908457
26,minibatch,50000,25,0.2546270489692688,2678292.75,0.9901085029235963
27,minibatch,50000,30,0.2481972873210907,2458364.5,1.0437749529246103
